Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-57425-KP084656N120635B01_sp15-248.fits.gz_residual_highpass.txt,16000.0,25.0,8.0,9.0,13.0
SDSS,spec-57746-HD092127N325407M02_sp04-075.fits.gz_residual_highpass.txt,15000.0,24.0,9.0,10.0,9.0
SDSS,spec-57641-HD193711N282959V01_sp11-118.fits.gz_residual_highpass.txt,39000.0,37.0,14.0,16.0,5.0
SDSS,spec-57356-EG015238N022953B01_sp07-162.fits.gz_residual_highpass.txt,20000.0,37.0,15.0,16.0,13.0
SDSS,spec-55892-F9204_sp09-184.fits.gz_residual_highpass.txt,18000.0,23.0,7.0,12.0,13.0
SDSS,spec-58397-EG014118N254444M01_sp05-087.fits.gz_residual_highpass.txt,27000.0,20.0,8.0,12.0,15.0
SDSS,spec-58490-HD084649N380231M02_sp12-161.fits.gz_residual_highpass.txt,39000.0,20.0,9.0,10.0,17.0
SDSS,spec-58071-GACII036N32M1_sp04-044.fits.gz_residual_highpass.txt,16000.0,23.0,12.0,16.0,5.0
SDSS,spec-55915-F5591506_sp09-215.fits.gz_residual_highpass.txt,15000.0,25.0,12.0,14.0,5.0
SDSS,spec-56626-GAC107N36V2_sp09-224.fits.gz_residual_highpass.txt,38000.0,37.0,13.0,15.0,11.0
SDSS,spec-56633-GAC053N32M1_sp15-220.fits.gz_residual_highpass.txt,21000.0,27.0,6.0,8.0,11.0
SDSS,spec-58136-GAC071N47M1_sp15-035.fits.gz_residual_highpass.txt,29000.0,26.0,7.0,9.0,9.0
SDSS,spec-57665-HD204132N355439B01_sp01-146.fits.gz_residual_highpass.txt,40000.0,33.0,7.0,9.0,15.0
SDSS,spec-58963-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,37000.0,27.0,14.0,15.0,17.0
SDSS,spec-57425-GAC089N16M1_sp15-058.fits.gz_residual_highpass.txt,29000.0,30.0,8.0,13.0,11.0
SDSS,spec-56346-HD130439N535127B01_sp04-250.fits.gz_residual_highpass.txt,20000.0,37.0,15.0,16.0,13.0
SDSS,spec-56609-GAC093N22M1_sp05-121.fits.gz_residual_highpass.txt,15000.0,26.0,11.0,16.0,9.0
SDSS,spec-57046-GAC075N39M1_sp04-168.fits.gz_residual_highpass.txt,29000.0,30.0,13.0,15.0,9.0
SDSS,spec-57435-HD121209N203231M01_sp13-206.fits.gz_residual_highpass.txt,18000.0,22.0,8.0,9.0,11.0
SDSS,spec-57755-HD105033N320139M02_sp07-153.fits.gz_residual_highpass.txt,14000.0,20.0,12.0,16.0,9.0
SDSS,spec-57754-GAC110N45M1_sp10-028.fits.gz_residual_highpass.txt,22000.0,34.0,12.0,15.0,5.0
SDSS,spec-57781-GAC101N48B1_sp11-191.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-57397-GAC070N40M1_sp12-174.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-57015-HD094135N311640M01_sp07-229.fits.gz_residual_highpass.txt,36000.0,23.0,6.0,10.0,9.0
SDSS,spec-57072-HD100510N522216M01_sp13-003.fits.gz_residual_highpass.txt,15000.0,36.0,15.0,16.0,7.0
SDSS,spec-57869-HD165712N321400M02_sp08-091.fits.gz_residual_highpass.txt,13000.0,30.0,12.0,13.0,13.0
SDSS,spec-57422-GAC095N44M1_sp10-083.fits.gz_residual_highpass.txt,18000.0,35.0,10.0,11.0,9.0
SDSS,spec-56590-HD011332N441019B01_sp10-176.fits.gz_residual_highpass.txt,28000.0,32.0,11.0,12.0,7.0
SDSS,spec-57721-GAC056N42M1_sp01-208.fits.gz_residual_highpass.txt,15000.0,21.0,8.0,9.0,11.0
SDSS,spec-56018-B5601805_sp03-139.fits.gz_residual_highpass.txt,15000.0,28.0,13.0,15.0,9.0
SDSS,spec-56246-GAC098N33M1_sp01-049.fits.gz_residual_highpass.txt,28000.0,22.0,9.0,16.0,15.0
SDSS,spec-56220-EG223221N023509B01_sp07-190.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,11.0,9.0
SDSS,spec-57421-HD095348N144420M01_sp04-009.fits.gz_residual_highpass.txt,12000.0,29.0,9.0,10.0,13.0
SDSS,spec-57393-M31025N38B2_sp06-250.fits.gz_residual_highpass.txt,27000.0,32.0,9.0,11.0,9.0
SDSS,spec-56619-GAC058N31B1_sp02-141.fits.gz_residual_highpass.txt,25000.0,29.0,7.0,8.0,9.0
SDSS,spec-59140-GACII308N02M1_sp15-150.fits.gz_residual_highpass.txt,29000.0,33.0,12.0,14.0,5.0
SDSS,spec-57389-M31019N33M1_sp16-247.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-58813-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,25000.0,21.0,7.0,12.0,21.0
SDSS,spec-57392-GAC092N13M1_sp12-059.fits.gz_residual_highpass.txt,28000.0,32.0,9.0,12.0,9.0
SDSS,spec-58838-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,38000.0,37.0,13.0,15.0,11.0
SDSS,spec-58906-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,23000.0,22.0,7.0,13.0,13.0
SDSS,spec-59112-GACII306N29B1_sp09-229.fits.gz_residual_highpass.txt,23000.0,27.0,8.0,13.0,15.0
SDSS,spec-57004-M31011N40M1_sp13-203.fits.gz_residual_highpass.txt,18000.0,33.0,9.0,10.0,9.0
SDSS,spec-57302-EG213118N034906V01_sp08-231.fits.gz_residual_highpass.txt,32000.0,28.0,7.0,9.0,11.0
SDSS,spec-55862-B6212_sp01-021.fits.gz_residual_highpass.txt,29000.0,34.0,15.0,16.0,15.0
SDSS,spec-57068-GAC079N41M1_sp08-017.fits.gz_residual_highpass.txt,24000.0,27.0,10.0,14.0,13.0
SDSS,spec-58963-HD183447N105331B01_sp05-167.fits.gz_residual_highpass.txt,25000.0,31.0,13.0,15.0,13.0
SDSS,spec-58040-GACII004N36M1_sp07-039.fits.gz_residual_highpass.txt,25000.0,35.0,10.0,15.0,9.0
SDSS,spec-56207-M31011N44B1_sp12-020.fits.gz_residual_highpass.txt,18000.0,23.0,7.0,12.0,13.0
SDSS,spec-58105-GACII048N59M1_sp12-079.fits.gz_residual_highpass.txt,13000.0,29.0,7.0,12.0,9.0
SDSS,spec-56965-GAC081N30B2_sp09-001.fits.gz_residual_highpass.txt,19000.0,33.0,13.0,15.0,11.0
SDSS,spec-57871-HD132901N475049M02_sp13-139.fits.gz_residual_highpass.txt,20000.0,23.0,6.0,7.0,7.0
SDSS,spec-56308-HD084531N282643F01_sp03-007.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,13.0,7.0
SDSS,spec-57054-HD045554N450205V01_sp12-248.fits.gz_residual_highpass.txt,31000.0,26.0,7.0,8.0,9.0
SDSS,spec-55976-F5597602_sp16-002.fits.gz_residual_highpass.txt,25000.0,31.0,13.0,15.0,13.0
SDSS,spec-57378-GAC120N14B1_sp16-175.fits.gz_residual_highpass.txt,27000.0,32.0,9.0,11.0,9.0
SDSS,spec-58081-GAC113N27M1_sp07-138.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,13.0,9.0
SDSS,spec-57393-M31025N38B2_sp08-154.fits.gz_residual_highpass.txt,28000.0,21.0,7.0,12.0,19.0
SDSS,spec-56249-GAC079N24M1_sp09-071.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,8.0,9.0
SDSS,spec-57721-M31025N38M1_sp14-179.fits.gz_residual_highpass.txt,15000.0,29.0,12.0,13.0,9.0
SDSS,spec-55918-M31_025N30_M1_sp03-165.fits.gz_residual_highpass.txt,13000.0,31.0,8.0,13.0,9.0
SDSS,spec-56255-VB007N33V1_sp16-096.fits.gz_residual_highpass.txt,27000.0,25.0,6.0,8.0,9.0
SDSS,spec-59202-HD101111N061004B01_sp09-220.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-56619-GAC058N31B1_sp13-060.fits.gz_residual_highpass.txt,31000.0,26.0,6.0,10.0,11.0
